"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         108,      -5.223475331,      -2.826461076,      -3.698998418,     -0.8665076341
          0,           0,         109,      -5.231041871,      -2.835501784,      -3.710566365,     -0.8732512207
          0,           0,         110,      -5.238335193,       -2.84383648,      -3.721083751,      -0.869524367
          0,           0,         111,      -5.243199353,      -2.849649171,       -3.73274734,     -0.8890407444
          0,           0,         112,      -5.250713432,      -2.858749859,      -3.744174289,      -0.894499774
          0,           0,         113,      -5.257957987,      -2.867191645,       -3.75450996,     -0.8887918959
          0,           0,         114,      -5.262805725,      -2.873130374,      -3.765937094,     -0.9076806626
          0,           0,         115,      -5.270270986,      -2.882356227,      -3.776991317,     -0.9123506647
          0,           0,         116,       -5.27746848,      -2.890937431,      -3.786799966,     -0.9050551078
          0,           0,         117,      -5.282309532,      -2.897028298,      -3.797853718,     -0.9244997438
          0,           0,         118,       -5.28973136,      -2.906380281,      -3.808321223,     -0.9290771897
          0,           0,         119,       -5.29688756,      -2.915077223,      -3.817286303,     -0.9210261794
          0,           0,         120,      -5.301730982,      -2.921291467,      -3.827894302,     -0.9421445125
          0,           0,         121,      -5.309115385,      -2.930720414,      -3.837631862,      -0.947323109
          0,           0,         122,      -5.316238654,      -2.939472696,      -3.845567259,     -0.9395050303
          0,           0,         123,      -5.321089688,      -2.945743125,      -3.855757644,     -0.9630706414
          0,           0,         124,      -5.328441751,      -2.955168418,      -3.864772342,     -0.9693607161
          0,           0,         125,      -5.335540608,      -2.963897981,      -3.871739111,     -0.9626570321
          0,           0,         126,      -5.340398489,      -2.970136176,      -3.881670637,     -0.9889499231
          0,           0,         127,      -5.347720896,      -2.979463907,       -3.89017563,     -0.9965744626
          0,           0,         128,      -5.354801287,      -2.988090224,      -3.896529626,     -0.9915883952
          0,           0,         129,      -5.359658723,      -2.994203242,      -3.906476181,      -1.020332449
          0,           0,         130,      -5.366950881,      -3.003343611,      -3.914862821,      -1.029180093
          0,           0,         131,       -5.37401414,      -3.011796328,      -3.921174928,      -1.026124752
          0,           0,         132,       -5.37885875,      -3.017703721,      -3.931451965,      -1.056461867
          0,           0,         133,      -5.386116907,      -3.026588127,      -3.940175296,       -1.06606723
          0,           0,         134,      -5.393159279,      -3.034818722,       -3.94705509,      -1.064667764
          0,           0,         135,      -5.397976822,      -3.040468846,      -3.957919056,      -1.095191483
          0,           0,         136,      -5.405195418,      -3.049064593,      -3.967352218,      -1.104757345
          0,           0,         137,      -5.412209427,      -3.057055947,      -3.975259531,      -1.104183909
          0,           0,         138,      -5.416987789,      -3.062437429,       -3.98682342,      -1.133154149
          0,           0,         139,      -5.424161366,      -3.070755281,      -3.997139766,       -1.14168716
          0,           0,         140,      -5.431138244,      -3.078525368,      -4.006247424,      -1.140638359
          0,           0,         141,      -5.435870756,      -3.083668896,      -4.018435851,      -1.166513471
          0,           0,         142,      -5.442995664,      -3.091759639,      -4.029545676,      -1.173139273
          0,           0,         143,      -5.449927836,      -3.099356535,      -4.039674032,      -1.170226074
          0,           0,         144,      -5.454614672,      -3.104325296,      -4.052223999,      -1.192392653
          0,           0,         145,       -5.46168991,      -3.112265531,      -4.063771958,      -1.196752357
          0,           0,         146,      -5.468572653,      -3.119754464,      -4.074399923,      -1.191100384
          0,           0,         147,      -5.473220003,      -3.124626381,      -4.086911102,      -1.210264785
          0,           0,         148,      -5.480247104,      -3.132498403,      -4.098341553,      -1.212695125
          0,           0,         149,      -5.487079159,      -3.139945288,      -4.108708111,      -1.204332413
          0,           0,         150,      -5.491696754,      -3.144793408,      -4.120746059,      -1.222151415
          0,           0,         151,      -5.498679021,      -3.152665933,      -4.131443728,      -1.223482324
          0,           0,         152,      -5.505462275,      -3.160122794,      -4.140748445,      -1.213202698
