"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          93,        -11.199323,      -11.08779698,      -10.91909887,      -10.67860048,      -10.55816796
          0,           0,          94,      -11.26083134,      -11.15410471,      -10.98662301,      -10.74486579,      -10.61918576
          0,           0,          95,      -11.32379144,      -11.22154265,      -11.05406121,      -10.81156022,      -10.68161082
          0,           0,          96,       -11.3881828,      -11.28974429,      -11.12075044,      -10.87811841,      -10.74544402
          0,           0,          97,      -11.45377019,      -11.35819406,      -11.18602336,       -10.9439098,      -10.81049563
          0,           0,          98,        -11.520123,      -11.42629117,      -11.24927038,      -11.00829208,      -10.87639563
          0,           0,          99,      -11.58666392,      -11.49345067,      -11.31001588,      -11.07068553,      -10.94262939
          0,           0,         100,      -11.65272048,       -11.5591933,      -11.36799261,      -11.13065591,      -11.00857543
          0,           0,         101,      -11.71758784,      -11.62323035,      -11.42319134,      -11.18799064,      -11.07355613
          0,           0,         102,       -11.7805934,      -11.68546533,      -11.47587872,      -11.24274142,       -11.1368924
          0,           0,         103,      -11.84118536,      -11.74596543,      -11.52657804,      -11.29523352,       -11.1979947
          0,           0,         104,      -11.89908808,      -11.80495754,      -11.57614451,      -11.34611921,      -11.25654013
          0,           0,         105,      -11.95496583,      -11.86346578,      -11.62688218,      -11.39716468,      -11.31331679
          0,           0,         106,      -12.01074186,       -11.9237581,      -11.68433388,      -11.45229489,      -11.37263225
