"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         145,      -9.208053955,      -6.210629891,      -7.285253911,      -3.332486475
          0,           0,         146,      -9.246944299,      -6.249488996,      -7.325762992,      -3.371348045
          0,           0,         147,        -9.2859609,      -6.288481606,      -7.365850359,      -3.410342393
          0,           0,         148,      -9.324881607,      -6.327394178,      -7.404849269,      -3.449255606
          0,           0,         149,      -9.363519834,      -6.366043305,      -7.442479895,      -3.487903563
          0,           0,         150,      -9.401794001,      -6.404343399,      -7.478978242,       -3.52620151
          0,           0,         151,      -9.439759614,      -6.442341282,      -7.515010473,      -3.564196658
          0,           0,         152,      -9.477590007,      -6.480198906,      -7.551411013,      -3.602051704
          0,           0,         153,       -9.51551319,      -6.518134165,      -7.588892806,      -3.639986123
          0,           0,         154,      -9.553730108,       -6.55634359,      -7.627802295,      -3.678196169
          0,           0,         155,      -9.592340181,      -6.594929208,      -7.668000046,      -3.716783929
          0,           0,         156,      -9.631307422,      -6.633863331,      -7.708900031,      -3.755721016
          0,           0,         157,        -9.6704719,      -6.672997424,      -7.749636839,      -3.794857386
          0,           0,         158,       -9.70960346,      -6.712111139,      -7.789362796,       -3.83397208
          0,           0,         159,      -9.748481624,      -6.750990829,      -7.827587969,      -3.872852014
          0,           0,         160,      -9.786980113,       -6.78950984,       -7.86438022,      -3.911369789
          0,           0,         161,      -9.825114323,      -6.827677547,      -7.900339156,      -3.949535125
          0,           0,         162,      -9.863039081,      -6.865635885,      -7.936374366,       -3.98749071
          0,           0,         163,       -9.90098891,      -6.903606787,      -7.973369908,      -4.025459367
          0,           0,         164,      -9.939193186,      -6.941813077,      -8.011873812,      -4.063663649
          0,           0,         165,      -9.977793498,      -6.980395272,      -8.051910349,      -4.102246619
          0,           0,         166,      -10.01679718,       -7.01936576,      -8.092995891,       -4.14122079
          0,           0,         167,      -10.05606757,      -7.058600489,      -8.134262635,      -4.180458316
          0,           0,         168,      -10.09537536,      -7.097882336,      -8.174719221,      -4.219741944
          0,           0,         169,      -10.13447886,      -7.136977075,      -8.213648334,      -4.258838708
          0,           0,         170,      -10.17320455,      -7.175716291,      -8.250911612,      -4.297577378
          0,           0,         171,      -10.21152326,       -7.21406595,      -8.286978903,      -4.335926529
          0,           0,         172,      -10.24955995,      -7.252139077,      -8.322761647,      -4.373996592
          0,           0,         173,      -10.28754433,      -7.290154774,      -8.359269803,      -4.412007699
          0,           0,         174,      -10.32572767,      -7.328350256,      -8.397255428,      -4.450202478
          0,           0,         175,      -10.36429094,      -7.366903622,      -8.436970056,      -4.488757629
          0,           0,         176,      -10.40328742,      -7.405872121,      -8.478058098,       -4.52772949
          0,           0,         177,      -10.44262682,      -7.445172049,        -8.5196936,      -4.567032585
          0,           0,         178,      -10.48208246,      -7.484591191,      -8.560824363,      -4.606454142
          0,           0,         179,      -10.52139161,      -7.523881336,      -8.600518283,      -4.645745821
          0,           0,         180,      -10.56033944,      -7.562834951,      -8.638369378,      -4.684699563
          0,           0,         181,      -10.59885116,      -7.601377184,      -8.674677096,      -4.723238349
          0,           0,         182,      -10.63701838,      -7.639582138,       -8.71030035,      -4.761440323
          0,           0,         183,      -10.67505667,      -7.677652681,      -8.746395649,      -4.799505976
          0,           0,         184,      -10.71322419,      -7.715840426,      -8.783873989,      -4.837693519
          0,           0,         185,       -10.7517437,      -7.754353332,      -8.823119815,      -4.876210644
          0,           0,         186,      -10.79071062,      -7.793291126,      -8.864032686,      -4.915146596
          0,           0,         187,       -10.8300554,      -7.832601892,      -8.905861122,      -4.954460202
          0,           0,         188,      -10.86960032,      -7.872118275,      -8.947487486,      -4.993982548
          0,           0,         189,      -10.90908165,      -7.911580124,      -8.987899606,      -5.033440883
          0,           0,         190,      -10.94824805,      -7.950738097,      -9.026471335,      -5.072594045
          0,           0,         191,       -10.9869752,      -7.989475674,      -9.063255205,      -5.111335538
