"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         127,      -7.147513306,       -4.36274193,       -5.11676892,      -1.865553264
          0,           0,         128,      -7.235277264,      -4.450504384,      -5.204615993,      -1.953544762
          0,           0,         129,       -7.29347677,      -4.508649525,      -5.262927377,      -2.011655322
          0,           0,         130,      -7.373884739,      -4.589058561,      -5.343211615,       -2.09183854
          0,           0,         131,      -7.482326335,      -4.697529769,      -5.451553022,      -2.200361477
          0,           0,         132,      -7.562494069,      -4.777675282,      -5.531865633,      -2.280717234
          0,           0,         133,      -7.622071187,       -4.83721876,      -5.591477962,      -2.340110125
          0,           0,         134,      -7.717186745,      -4.932340703,      -5.686453718,      -2.435050576
          0,           0,         135,      -7.827497236,      -5.042668072,      -5.796755505,      -2.545548353
          0,           0,         136,      -7.896715846,      -5.111862529,      -5.866122361,      -2.614854701
          0,           0,         137,      -7.965251644,      -5.180372332,      -5.934622743,      -2.683138758
          0,           0,         138,      -8.074822759,      -5.289954592,      -6.044078682,      -2.792645056
          0,           0,         139,      -8.178357735,      -5.393503429,      -6.147686118,      -2.896432087
          0,           0,         140,      -8.240511607,      -5.455625185,      -6.209944281,      -2.958518033
          0,           0,         141,      -8.322937282,      -5.538034218,      -6.292294043,      -3.040704713
          0,           0,         142,      -8.442272721,      -5.657394114,      -6.411560899,      -3.160124989
          0,           0,         143,      -8.533274255,      -5.748394043,      -6.502681417,      -3.251326982
          0,           0,         144,      -8.593647968,      -5.808733734,      -6.563104175,      -3.311517739
          0,           0,         145,      -8.692661688,      -5.907751634,      -6.662021729,      -3.410387459
          0,           0,         146,      -8.815724538,      -6.030839539,      -6.785068678,      -3.533636543
          0,           0,         147,       -8.88876215,       -6.10385753,      -6.858244317,      -3.606752551
          0,           0,         148,      -8.954892583,      -6.169969959,      -6.924364889,      -3.672682688
          0,           0,         149,      -9.073518176,      -6.288612293,      -7.042880946,      -3.791264426
          0,           0,         150,      -9.186712433,      -6.401821014,        -7.1561321,      -3.904681416
          0,           0,         151,      -9.242276503,      -6.457365374,      -7.211814166,      -3.960222699
          0,           0,         152,      -9.327212507,      -6.542293875,      -7.296672593,       -4.04497163
          0,           0,         153,       -9.45932942,      -6.674432636,      -7.428695322,      -4.177137187
          0,           0,         154,      -9.545098721,      -6.760213428,      -7.514603916,      -4.263135948
          0,           0,         155,      -9.600360984,      -6.815452693,      -7.569908702,      -4.318279512
          0,           0,         156,      -9.711005069,      -6.926094603,      -7.680416466,      -4.428753547
          0,           0,         157,       -9.83502774,      -7.050155788,      -7.804428598,      -4.552966932
          0,           0,         158,      -9.895887896,      -7.111009637,      -7.865443061,      -4.613972592
          0,           0,         159,      -9.970404591,      -7.185494088,       -7.93990219,      -4.688267605
          0,           0,         160,      -10.09643852,      -7.311551543,      -8.065800145,      -4.814230237
          0,           0,         161,      -10.19529126,      -7.410443281,      -8.164756251,      -4.913386668
          0,           0,         162,      -10.25286534,      -7.467975298,      -8.222408127,        -4.9709184
          0,           0,         163,      -10.34994549,      -7.565041785,      -8.319368145,      -5.067745297
          0,           0,         164,      -10.47382092,      -7.688970083,      -8.443180781,      -5.191738945
          0,           0,         165,      -10.55192968,      -7.767070095,      -8.521457815,       -5.27009213
          0,           0,         166,      -10.62048827,      -7.835583743,      -8.589978907,      -5.338443658
          0,           0,         167,      -10.73291712,      -7.948038216,      -8.702274872,      -5.450715421
          0,           0,         168,      -10.84574401,      -8.060893211,      -8.815175734,      -5.563783546
          0,           0,         169,      -10.91377604,      -8.128876884,      -8.883339313,      -5.631847688
          0,           0,         170,      -10.99710242,      -8.212192551,      -8.966468637,      -5.714917887
          0,           0,         171,      -11.11919778,      -8.334325993,      -9.088476822,       -5.83701535
          0,           0,         172,      -11.21698811,      -8.432114456,       -9.18651829,      -5.935127021
          0,           0,         173,      -11.28272019,      -8.497794042,      -9.252282887,      -6.000638403
          0,           0,         174,      -11.38434779,      -8.599428498,      -9.353846116,      -6.101985561
          0,           0,         175,      -11.50891649,      -8.724008764,      -9.478319559,      -6.226777044
          0,           0,         176,      -11.58822845,      -8.803304635,      -9.557569169,      -6.306221857
          0,           0,         177,      -11.66262753,      -8.877646397,      -9.631896284,      -6.380241937
          0,           0,         178,      -11.78338182,      -8.998395437,      -9.752453971,      -6.500690102
          0,           0,         179,       -11.8966583,      -9.111623769,      -9.866091891,      -6.613916117
          0,           0,         180,      -11.96338446,      -9.178260954,      -9.932694847,       -6.68029203
          0,           0,         181,      -12.05768985,      -9.272491117,      -10.02704594,      -6.773916591
          0,           0,         182,      -12.18872587,      -9.403336925,       -10.1582644,      -6.903721556
          0,           0,         183,      -12.27950178,      -9.493939461,      -10.24874698,      -6.993284721
          0,           0,         184,      -12.34893761,      -9.563176713,      -10.31750254,      -7.061169485
          0,           0,         185,      -12.46564883,       -9.67942304,       -10.4318905,       -7.17467263
          0,           0,         186,       -12.5901194,       -9.80286697,      -10.55618388,      -7.292717475
          0,           0,         187,      -12.66096826,      -9.872797193,      -10.62431868,      -7.357157755
          0,           0,         188,       -12.7467715,      -9.957240124,      -10.70730339,      -7.435028309
          0,           0,         189,      -12.87803915,      -10.08604279,       -10.8317106,      -7.547012746
          0,           0,         190,      -12.97662284,      -10.17953659,      -10.92589772,      -7.617685718
          0,           0,         191,      -13.04065383,      -10.23998553,      -10.98121891,      -7.667878549
